图片名称: 003458, 时间戳: 2025-12-18 17:45:59, 缺陷类别: 划痕(scratches), 推理用时: 0.5693 秒, 背景占比: 97.71%, 缺陷占比: 2.29%
图片名称: 000628_test, 时间戳: 2025-12-18 17:45:59, 缺陷类别: 夹渣(inclusion)、斑块(patches), 推理用时: 0.0057 秒, 背景占比: 89.82%, 缺陷占比: 10.18%
图片名称: 002308, 时间戳: 2025-12-18 17:45:59, 缺陷类别: 斑块(patches), 推理用时: 0.0057 秒, 背景占比: 94.49%, 缺陷占比: 5.50%
图片名称: 002128, 时间戳: 2025-12-18 17:45:59, 缺陷类别: 斑块(patches), 推理用时: 0.0069 秒, 背景占比: 88.63%, 缺陷占比: 11.37%
图片名称: 003126, 时间戳: 2025-12-18 17:45:59, 缺陷类别: 斑块(patches), 推理用时: 0.0060 秒, 背景占比: 66.84%, 缺陷占比: 33.16%
图片名称: 001521, 时间戳: 2025-12-18 17:45:59, 缺陷类别: 划痕(scratches), 推理用时: 0.0045 秒, 背景占比: 91.34%, 缺陷占比: 8.66%
图片名称: 003683, 时间戳: 2025-12-18 17:45:59, 缺陷类别: 夹渣(inclusion)、斑块(patches), 推理用时: 0.0059 秒, 背景占比: 84.59%, 缺陷占比: 15.41%
图片名称: 003840, 时间戳: 2025-12-18 17:46:00, 缺陷类别: 夹渣(inclusion)、划痕(scratches), 推理用时: 0.0042 秒, 背景占比: 90.05%, 缺陷占比: 9.95%
图片名称: 000627, 时间戳: 2025-12-18 17:46:00, 缺陷类别: 划痕(scratches), 推理用时: 0.0050 秒, 背景占比: 91.92%, 缺陷占比: 8.08%
图片名称: 003236, 时间戳: 2025-12-18 17:46:00, 缺陷类别: 划痕(scratches), 推理用时: 0.0053 秒, 背景占比: 99.19%, 缺陷占比: 0.81%
图片名称: 002858, 时间戳: 2025-12-18 17:46:00, 缺陷类别: 无缺陷, 推理用时: 0.0063 秒, 背景占比: 100.00%, 缺陷占比: 0.00%
图片名称: 002437, 时间戳: 2025-12-18 17:46:00, 缺陷类别: 划痕(scratches), 推理用时: 0.0064 秒, 背景占比: 99.00%, 缺陷占比: 1.00%
图片名称: 000706, 时间戳: 2025-12-18 17:46:00, 缺陷类别: 夹渣(inclusion)、划痕(scratches), 推理用时: 0.0067 秒, 背景占比: 94.35%, 缺陷占比: 5.65%
图片名称: 000548_test, 时间戳: 2025-12-18 17:46:00, 缺陷类别: 划痕(scratches), 推理用时: 0.0060 秒, 背景占比: 97.57%, 缺陷占比: 2.43%
图片名称: 000088, 时间戳: 2025-12-18 17:46:00, 缺陷类别: 夹渣(inclusion), 推理用时: 0.0045 秒, 背景占比: 99.23%, 缺陷占比: 0.77%
图片名称: 000515, 时间戳: 2025-12-18 17:46:00, 缺陷类别: 斑块(patches), 推理用时: 0.0058 秒, 背景占比: 21.50%, 缺陷占比: 78.50%
图片名称: 001558, 时间戳: 2025-12-18 17:46:00, 缺陷类别: 划痕(scratches), 推理用时: 0.0060 秒, 背景占比: 96.29%, 缺陷占比: 3.71%
图片名称: 003382, 时间戳: 2025-12-18 17:46:00, 缺陷类别: 划痕(scratches), 推理用时: 0.0066 秒, 背景占比: 90.45%, 缺陷占比: 9.54%
图片名称: 000439, 时间戳: 2025-12-18 17:46:00, 缺陷类别: 夹渣(inclusion)、划痕(scratches), 推理用时: 0.0056 秒, 背景占比: 83.71%, 缺陷占比: 16.29%
图片名称: 001432, 时间戳: 2025-12-18 17:46:00, 缺陷类别: 斑块(patches), 推理用时: 0.0051 秒, 背景占比: 93.67%, 缺陷占比: 6.33%
图片名称: 001690, 时间戳: 2025-12-18 17:46:00, 缺陷类别: 划痕(scratches), 推理用时: 0.0075 秒, 背景占比: 93.92%, 缺陷占比: 6.08%
图片名称: 001343, 时间戳: 2025-12-18 17:46:00, 缺陷类别: 斑块(patches), 推理用时: 0.0104 秒, 背景占比: 95.36%, 缺陷占比: 4.64%
图片名称: 002259, 时间戳: 2025-12-18 17:46:00, 缺陷类别: 斑块(patches), 推理用时: 0.0120 秒, 背景占比: 34.20%, 缺陷占比: 65.80%
图片名称: 002513, 时间戳: 2025-12-18 17:46:00, 缺陷类别: 划痕(scratches), 推理用时: 0.0052 秒, 背景占比: 84.52%, 缺陷占比: 15.47%
图片名称: 003481, 时间戳: 2025-12-18 17:46:00, 缺陷类别: 划痕(scratches), 推理用时: 0.0028 秒, 背景占比: 92.22%, 缺陷占比: 7.78%
图片名称: 001902, 时间戳: 2025-12-18 17:46:00, 缺陷类别: 夹渣(inclusion), 推理用时: 0.0031 秒, 背景占比: 99.89%, 缺陷占比: 0.11%
图片名称: 003439, 时间戳: 2025-12-18 17:46:00, 缺陷类别: 划痕(scratches), 推理用时: 0.0028 秒, 背景占比: 96.17%, 缺陷占比: 3.83%
图片名称: 000411, 时间戳: 2025-12-18 17:46:00, 缺陷类别: 夹渣(inclusion)、划痕(scratches), 推理用时: 0.0028 秒, 背景占比: 84.95%, 缺陷占比: 15.04%
图片名称: 001389, 时间戳: 2025-12-18 17:46:00, 缺陷类别: 斑块(patches), 推理用时: 0.0028 秒, 背景占比: 42.44%, 缺陷占比: 57.56%
图片名称: 003139, 时间戳: 2025-12-18 17:46:00, 缺陷类别: 斑块(patches), 推理用时: 0.0030 秒, 背景占比: 88.28%, 缺陷占比: 11.72%
图片名称: 002470, 时间戳: 2025-12-18 17:46:00, 缺陷类别: 划痕(scratches), 推理用时: 0.0028 秒, 背景占比: 90.90%, 缺陷占比: 9.10%
图片名称: 000932, 时间戳: 2025-12-18 17:46:00, 缺陷类别: 夹渣(inclusion), 推理用时: 0.0028 秒, 背景占比: 99.77%, 缺陷占比: 0.23%
图片名称: 003668, 时间戳: 2025-12-18 17:46:00, 缺陷类别: 夹渣(inclusion)、斑块(patches), 推理用时: 0.0029 秒, 背景占比: 82.14%, 缺陷占比: 17.86%
图片名称: 003755, 时间戳: 2025-12-18 17:46:00, 缺陷类别: 夹渣(inclusion)、斑块(patches), 推理用时: 0.0028 秒, 背景占比: 93.70%, 缺陷占比: 6.30%
图片名称: 004279, 时间戳: 2025-12-18 17:46:00, 缺陷类别: 斑块(patches)、划痕(scratches), 推理用时: 0.0029 秒, 背景占比: 69.79%, 缺陷占比: 30.21%
图片名称: 004106, 时间戳: 2025-12-18 17:46:00, 缺陷类别: 夹渣(inclusion)、划痕(scratches), 推理用时: 0.0031 秒, 背景占比: 90.24%, 缺陷占比: 9.76%
图片名称: 002898, 时间戳: 2025-12-18 17:46:00, 缺陷类别: 夹渣(inclusion), 推理用时: 0.0028 秒, 背景占比: 91.44%, 缺陷占比: 8.56%
